,Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Rating
101,Battlefield 3,X360,2011,Shooter,Electronic Arts,7320000.0,84.0,7.4,M
102,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,7200000.0,85.0,8.6,E
103,Just Dance,Wii,2009,Misc,Ubisoft,7200000.0,49.0,8.0,E10+
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,7170000.0,85.0,7.5,M
105,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7160000.0,87.0,6.5,M
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,7160000.0,96.0,9.1,T
107,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,7150000.0,95.0,9.0,T
109,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,7130000.0,91.0,8.9,E
110,Mario Kart 8,WiiU,2014,Racing,Nintendo,7090000.0,88.0,9.1,E
111,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,7070000.0,92.0,9.1,T
113,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,6900000.0,82.0,8.6,E
114,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,6830000.0,88.0,8.5,T
116,Just Dance 4,Wii,2012,Misc,Ubisoft,6760000.0,74.0,7.3,E10+
117,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,6750000.0,93.0,7.7,M
118,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,6740000.0,92.0,8.3,T
120,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,6680000.0,94.0,8.4,M
121,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,6660000.0,96.0,8.8,T
123,Big Brain Academy,DS,2005,Misc,Nintendo,6620000.0,74.0,7.4,E
125,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6490000.0,95.0,8.8,M
126,FIFA 14,PS3,2013,Sports,Electronic Arts,6470000.0,86.0,4.3,E
127,Assassin's Creed III,PS3,2012,Action,Ubisoft,6450000.0,85.0,6.9,M
128,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6440000.0,87.0,8.6,E
129,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,6430000.0,97.0,8.6,M
130,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,6410000.0,92.0,6.4,M
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,6410000.0,76.0,9.0,E
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,6400000.0,85.0,8.8,E
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,6340000.0,83.0,7.1,M
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6320000.0,95.0,9.0,M
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,6310000.0,92.0,8.6,E
138,World of Warcraft,PC,2004,Role-Playing,Activision,6290000.0,93.0,7.3,T
139,Driver,PS,1999,Action,GT Interactive,6270000.0,87.0,8.1,T
140,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6210000.0,91.0,7.8,M
141,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6190000.0,73.0,7.4,E10+
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,6090000.0,94.0,8.3,M
143,FIFA 15,PS4,2014,Sports,Electronic Arts,6080000.0,82.0,5.7,E
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,6050000.0,96.0,8.7,M
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,6030000.0,94.0,9.4,M
147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,5990000.0,94.0,8.7,M
148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,5950000.0,92.0,7.6,T
149,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5870000.0,95.0,9.1,M
150,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,5820000.0,95.0,6.8,E
151,Resident Evil 2,PS,1998,Action,Virgin Interactive,5820000.0,89.0,9.2,M
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,5780000.0,87.0,8.8,E10+
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,5740000.0,89.0,8.9,T
154,Destiny,PS4,2014,Shooter,Activision,5640000.0,76.0,6.1,T
155,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,5640000.0,80.0,8.9,E10+
156,Cooking Mama,DS,2006,Simulation,505 Games,5630000.0,67.0,7.2,E
159,Assassin's Creed II,PS3,2009,Action,Ubisoft,5550000.0,91.0,8.6,M
160,Assassin's Creed,X360,2007,Adventure,Ubisoft,5540000.0,81.0,7.7,M
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,5490000.0,92.0,8.0,E
162,Super Mario Advance,GBA,2001,Platform,Nintendo,5490000.0,84.0,7.8,E
163,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,5480000.0,81.0,8.7,T
164,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5480000.0,96.0,8.6,T
165,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,5480000.0,97.0,7.9,M
166,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,5470000.0,93.0,8.3,E
169,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,5420000.0,66.0,7.1,E
170,Call of Duty: World at War,PS3,2008,Shooter,Activision,5390000.0,85.0,7.6,M
171,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5380000.0,93.0,7.9,T
173,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,5330000.0,83.0,7.3,T
175,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,5300000.0,94.0,8.9,T
176,Assassin's Creed III,X360,2012,Action,Ubisoft,5290000.0,84.0,6.7,M
177,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,5290000.0,85.0,6.6,T
179,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5270000.0,81.0,5.4,M
181,Assassin's Creed II,X360,2009,Action,Ubisoft,5260000.0,90.0,8.8,M
185,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5220000.0,84.0,8.1,E
186,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,5210000.0,89.0,8.8,T
188,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,5190000.0,85.0,8.6,E
190,FIFA Soccer 13,X360,2012,Action,Electronic Arts,5160000.0,90.0,6.1,E
192,Diablo III,PC,2012,Role-Playing,Activision,5140000.0,88.0,4.0,M
