,Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Rating
1238,Fight Night Round 4,PS3,2009,Fighting,Electronic Arts,1520000.0,88.0,7.6,T
1239,Super Monkey Ball 2,GC,2002,Puzzle,Atari,1520000.0,87.0,8.5,E
1240,Pac-Man World 2,PS2,2002,Action,Namco Bandai Games,1510000.0,73.0,7.8,E
1242,MySims Kingdom,Wii,2008,Simulation,Electronic Arts,1510000.0,76.0,8.1,E
1243,Dead Space 2,X360,2011,Shooter,Electronic Arts,1510000.0,90.0,8.6,M
1249,The Simpsons Game,PS2,2007,Action,Electronic Arts,1510000.0,68.0,8.2,T
1251,The Simpsons Game,DS,2007,Action,Electronic Arts,1510000.0,69.0,7.3,T
1252,Football Manager 2012,PC,2011,Sports,Sega,1510000.0,84.0,8.0,E
1253,Ni no Kuni: Wrath of the White Witch,PS3,2011,Role-Playing,Namco Bandai Games,1510000.0,85.0,8.6,E10+
1254,SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,1500000.0,93.0,9.1,T
1255,Call of Duty 3,PS3,2006,Shooter,Activision,1500000.0,80.0,6.9,T
1256,Tokyo Xtreme Racer Zero,PS2,2000,Racing,Crave Entertainment,1500000.0,76.0,8.9,E
1258,Red Faction II,PS2,2002,Shooter,THQ,1500000.0,84.0,8.3,M
1259,Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1500000.0,91.0,7.7,E
1264,Star Wars: The Force Unleashed II,PS3,2010,Action,LucasArts,1500000.0,63.0,6.8,T
1266,Rock Band 2,PS3,2008,Misc,MTV Games,1490000.0,91.0,7.9,T
1267,Final Fantasy: Crystal Chronicles,GC,2003,Role-Playing,Nintendo,1490000.0,80.0,8.1,T
1268,Medal of Honor: Frontline,XB,2002,Shooter,Electronic Arts,1490000.0,81.0,6.9,T
1269,Madden NFL 09,PS2,2008,Sports,Electronic Arts,1490000.0,67.0,7.0,E
1270,Dead Rising 2,X360,2010,Action,Capcom,1490000.0,79.0,6.9,M
1273,Mafia II,PS3,2010,Action,Take-Two Interactive,1490000.0,75.0,7.7,M
1274,Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,1490000.0,85.0,6.6,M
1276,Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,1480000.0,57.0,6.9,T
1280,Sonic Rivals 2,PSP,2007,Racing,Sega,1480000.0,60.0,7.8,E
1282,Resistance 3,PS3,2011,Shooter,Sony Computer Entertainment,1480000.0,83.0,7.8,M
1283,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,1480000.0,68.0,5.5,E
1285,007: Quantum of Solace,X360,2008,Action,Activision,1480000.0,65.0,7.1,T
1286,Major League Baseball 2K5,PS2,2005,Sports,Take-Two Interactive,1480000.0,82.0,7.4,E
1287,Fight Night 2004,PS2,2004,Fighting,Electronic Arts,1480000.0,85.0,9.0,T
1288,LEGO Star Wars III: The Clone Wars,X360,2011,Action,LucasArts,1480000.0,75.0,7.8,E10+
1289,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,Ubisoft,1480000.0,93.0,8.6,T
1294,Call of Duty Black Ops: Declassified,PSV,2012,Action,Activision,1470000.0,33.0,4.8,M
1295,Tom Clancy's Ghost Recon: Future Soldier,X360,2012,Shooter,Ubisoft,1470000.0,79.0,7.2,M
1296,Fight Night Round 3,X360,2006,Fighting,Electronic Arts,1470000.0,86.0,8.8,T
1297,Xenogears,PS,1998,Role-Playing,SquareSoft,1460000.0,84.0,8.4,T
1299,Super Scribblenauts,DS,2010,Puzzle,Warner Bros. Interactive Entertainment,1460000.0,81.0,8.2,E10+
1303,Super Monkey Ball,GC,2001,Puzzle,Atari,1460000.0,87.0,7.9,E
1304,SoulCalibur IV,PS3,2008,Fighting,Ubisoft,1460000.0,85.0,7.9,T
1308,Mario Superstar Baseball,GC,2005,Sports,Nintendo,1460000.0,76.0,8.6,E
1311,Battlefield: Bad Company,X360,2008,Shooter,Electronic Arts,1460000.0,83.0,7.7,T
1312,Homefront,X360,2011,Shooter,THQ,1450000.0,70.0,6.0,M
1313,Onimusha 3: Demon Siege,PS2,2004,Action,Capcom,1450000.0,85.0,8.6,M
1315,Red Dead Revolver,PS2,2004,Shooter,Take-Two Interactive,1450000.0,73.0,7.8,M
1316,Resident Evil: Outbreak,PS2,2003,Action,Capcom,1450000.0,71.0,8.3,M
1322,Mass Effect 2,PS3,2011,Role-Playing,Electronic Arts,1450000.0,94.0,8.5,M
1323,LEGO Battles: Ninjago,DS,2011,Strategy,Warner Bros. Interactive Entertainment,1450000.0,59.0,6.9,E
1325,NBA 2K14,PS4,2013,Sports,Take-Two Interactive,1450000.0,85.0,6.5,E
1327,SingStar Pop,PS2,2007,Misc,Sony Computer Entertainment,1440000.0,73.0,7.5,E10+
1330,Disney Infinity,X360,2013,Action,Disney Interactive Studios,1440000.0,74.0,6.5,E10+
1331,My Word Coach,DS,2007,Misc,Ubisoft,1440000.0,71.0,6.8,E
1332,Tiger Woods PGA Tour 2005,PS2,2004,Sports,Electronic Arts,1440000.0,88.0,8.2,E
1333,NCAA Football 2003,PS2,2002,Sports,Electronic Arts,1440000.0,91.0,8.6,E
1334,Star Wars: The Force Unleashed II,X360,2010,Action,LucasArts,1430000.0,61.0,5.7,T
1335,Frogger 2: Swampy's Revenge,PS,1999,Action,Hasbro Interactive,1430000.0,77.0,7.9,E
1336,WWE SmackDown vs Raw 2008,X360,2007,Fighting,THQ,1430000.0,71.0,6.8,T
1337,Kinect Joy Ride,X360,2010,Racing,Microsoft Game Studios,1430000.0,52.0,5.0,E
1338,Smarty Pants,Wii,2007,Misc,Electronic Arts,1430000.0,65.0,7.6,E
1342,Classic NES Series: Super Mario Bros.,GBA,2004,Platform,Nintendo,1430000.0,84.0,8.6,E
1344,Anno 2070,PC,2011,Strategy,Ubisoft,1430000.0,83.0,7.0,T
1345,Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,1430000.0,63.0,7.5,E
1346,Sonic Rivals,PSP,2006,Racing,Sega,1420000.0,64.0,7.8,E
1347,BioShock,PS3,2008,Shooter,Take-Two Interactive,1420000.0,94.0,8.7,M
1348,Mass Effect 3,PS3,2012,Role-Playing,Electronic Arts,1420000.0,93.0,5.5,M
1349,Cabela's Big Game Hunter,PS2,2002,Sports,Activision,1420000.0,59.0,7.8,T
1351,SimCity (2013),PC,2013,Simulation,Electronic Arts,1420000.0,64.0,2.2,E10+
1352,The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,1420000.0,89.0,9.0,E
1353,NFL Street,PS2,2004,Sports,Electronic Arts,1420000.0,80.0,8.9,E
1356,Dead Space 2,PS3,2011,Shooter,Electronic Arts,1420000.0,89.0,8.4,M
1357,Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,Electronic Arts,1420000.0,81.0,8.7,E
1358,Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,1420000.0,80.0,7.9,M
1360,Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1420000.0,76.0,7.9,E
1361,Dragon Quest Monsters: Joker 2,DS,2010,Role-Playing,Square Enix,1410000.0,77.0,7.3,E
1362,UFC Undisputed 2010,PS3,2010,Fighting,THQ,1410000.0,85.0,7.2,T
1364,Medal of Honor: Warfighter,PS3,2012,Action,Electronic Arts,1410000.0,55.0,6.0,M
1366,Sonic's Ultimate Genesis Collection,X360,2009,Misc,Sega,1410000.0,79.0,8.5,E10+
1371,Diablo III,X360,2013,Role-Playing,Activision,1410000.0,87.0,6.6,M
1372,Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment,1410000.0,91.0,8.4,M
1373,NASCAR 2005: Chase for the Cup,PS2,2004,Racing,Electronic Arts,1410000.0,87.0,8.4,E
1374,Fight Night Round 4,X360,2009,Fighting,Electronic Arts,1400000.0,87.0,8.1,T
1375,Spider-Man: The Movie,XB,2002,Action,Activision,1400000.0,79.0,7.5,E
1376,LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,1400000.0,83.0,8.6,E10+
1377,Dead Space,X360,2008,Action,Electronic Arts,1400000.0,89.0,8.7,M
1380,LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,Activision,1400000.0,72.0,6.1,E10+
1381,Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment,1400000.0,88.0,8.2,E
1382,Sonic Advance 3,GBA,2004,Platform,THQ,1400000.0,79.0,8.4,E
1385,Colin McRae Rally 3,PS2,2002,Racing,Codemasters,1400000.0,86.0,7.7,E
1386,Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,1400000.0,86.0,8.2,E10+
1387,Madden NFL 2002,PS,2001,Sports,Electronic Arts,1390000.0,88.0,8.0,E
1391,Dynasty Warriors 5,PS2,2005,Action,Tecmo Koei,1390000.0,69.0,8.8,T
1393,Injustice: Gods Among Us,X360,2013,Fighting,Warner Bros. Interactive Entertainment,1380000.0,81.0,7.9,T
1394,Far Cry 2,PS3,2008,Action,Ubisoft,1380000.0,85.0,6.4,M
1395,Yoshi's New Island,3DS,2014,Platform,Nintendo,1380000.0,64.0,6.1,E
1397,True Crime: Streets of LA,XB,2003,Action,Activision,1380000.0,77.0,7.8,M
1400,Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,1380000.0,60.0,6.1,M
1401,Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1380000.0,86.0,7.3,M
1403,Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,1380000.0,86.0,8.0,M
1405,Sonic Generations,X360,2011,Platform,Sega,1380000.0,77.0,8.3,E
1406,Dave Mirra Freestyle BMX 2,PS2,2001,Sports,Acclaim Entertainment,1380000.0,81.0,8.1,T
1407,Bakugan: Battle Brawlers,DS,2009,Action,Activision,1380000.0,60.0,6.7,E
1408,LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,LucasArts,1370000.0,77.0,8.4,E10+
1409,Deus Ex: Human Revolution,X360,2011,Shooter,Square Enix,1370000.0,89.0,8.3,M
1411,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,1370000.0,81.0,6.1,E10+
1412,Call of Duty: Black Ops,Wii,2010,Shooter,Activision,1370000.0,80.0,5.8,M
1413,Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix,1370000.0,89.0,8.2,M
1414,Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision,1370000.0,86.0,8.6,T
1416,The Sims 2,PSP,2005,Simulation,Electronic Arts,1370000.0,65.0,6.9,T
1417,Dead Rising 2,PS3,2010,Action,Capcom,1360000.0,80.0,6.7,M
1418,Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games,1360000.0,78.0,7.1,E
1419,Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft,1360000.0,80.0,8.9,T
1420,Need for Speed: The Run,X360,2011,Action,Electronic Arts,1360000.0,68.0,6.0,T
1421,Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,Vivendi Games,1360000.0,75.0,7.8,E
1422,Titanfall,X360,2014,Shooter,Electronic Arts,1360000.0,83.0,5.9,M
1427,Dead to Rights,PS2,2002,Shooter,Electronic Arts,1360000.0,73.0,8.9,M
1428,WWE '13,PS3,2012,Action,THQ,1350000.0,76.0,8.1,T
1430,Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,1350000.0,63.0,6.3,E
1432,Gardening Mama,DS,2009,Puzzle,505 Games,1350000.0,60.0,9.3,E
1433,Burnout Paradise,X360,2008,Racing,Electronic Arts,1350000.0,88.0,6.9,E10+
1434,Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,1350000.0,87.0,8.0,M
1435,MotorStorm: Pacific Rift,PS3,2008,Racing,Sony Computer Entertainment,1350000.0,82.0,8.0,T
1436,Samurai Warriors,PS2,2004,Action,Electronic Arts,1350000.0,73.0,8.7,T
1437,Battlefield 4,PC,2013,Shooter,Electronic Arts,1350000.0,81.0,6.0,M
1439,Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,1350000.0,84.0,6.2,M
1442,FIFA Soccer 08,PSP,2007,Sports,Electronic Arts,1350000.0,79.0,7.4,E
1443,FIFA Soccer 09,PSP,2008,Sports,Electronic Arts,1350000.0,84.0,8.9,E
1445,FIFA Soccer 08,X360,2007,Sports,Electronic Arts,1350000.0,82.0,7.9,E
1446,Test Drive,PS2,2002,Racing,Atari,1340000.0,73.0,7.4,T
1447,Devil May Cry 4,X360,2008,Action,Capcom,1340000.0,84.0,8.0,M
1448,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft,1340000.0,81.0,7.9,M
1449,Metroid: Other M,Wii,2010,Action,Nintendo,1340000.0,79.0,6.5,T
1450,Crysis 2,X360,2011,Action,Electronic Arts,1340000.0,84.0,7.5,M
1451,Chrono Trigger,DS,2008,Role-Playing,Square Enix,1340000.0,92.0,8.9,E10+
1452,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom,1340000.0,84.0,7.3,T
1454,Doom 3,XB,2005,Shooter,Activision,1340000.0,88.0,7.4,M
1455,Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,1340000.0,74.0,6.9,M
1456,F1 2010,PS3,2010,Racing,Codemasters,1340000.0,84.0,7.8,E
1457,Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,1340000.0,71.0,8.6,T
1458,Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,1340000.0,80.0,8.3,E10+
1459,Need for Speed Carbon,PS2,2006,Racing,Electronic Arts,1340000.0,74.0,8.4,E10+
1460,Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1340000.0,79.0,7.1,T
1463,Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive,1340000.0,73.0,8.2,M
1464,Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,1340000.0,84.0,8.1,T
1465,MVP Baseball 2004,PS2,2004,Sports,Electronic Arts,1340000.0,90.0,8.6,E
1468,Alan Wake,X360,2010,Action,Microsoft Game Studios,1330000.0,83.0,8.1,T
1474,Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo,1330000.0,92.0,8.8,T
1476,Corvette,PS2,2004,Racing,TDK Mediactive,1330000.0,57.0,6.5,E
1477,WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ,1330000.0,74.0,7.3,T
1478,Skylanders SWAP Force,X360,2013,Platform,Activision,1320000.0,83.0,5.7,E10+
1479,Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive,1320000.0,93.0,8.3,M
1480,UFC Undisputed 2010,X360,2010,Fighting,THQ,1320000.0,84.0,6.7,T
1481,World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision,1320000.0,91.0,7.5,T
1484,NFL 2K3,PS2,2002,Sports,Atari,1320000.0,93.0,7.4,E
1485,Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,1320000.0,70.0,7.2,M
1489,Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft,1320000.0,73.0,7.5,E
1490,Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts,1320000.0,74.0,8.5,E
1496,Rage,PS3,2011,Shooter,Bethesda Softworks,1310000.0,81.0,6.2,M
1497,LEGO Harry Potter: Years 1-4,PS3,2010,Action,Warner Bros. Interactive Entertainment,1310000.0,79.0,8.0,E10+
1498,Madagascar,PS2,2005,Platform,Activision,1310000.0,69.0,7.4,E10+
1499,The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,1310000.0,91.0,9.2,M
1502,Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment,1310000.0,61.0,7.3,M
1503,[Prototype],X360,2009,Action,Activision,1310000.0,78.0,7.8,M
1504,Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,1310000.0,94.0,7.2,T
1505,The Beatles: Rock Band,X360,2009,Misc,MTV Games,1300000.0,89.0,8.6,T
1508,NBA Live 07,PS2,2006,Sports,Electronic Arts,1300000.0,63.0,6.0,E
1509,Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,1300000.0,78.0,8.5,E
1510,Skylanders Giants,X360,2012,Action,Activision,1300000.0,80.0,6.6,E10+
1511,SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment,1300000.0,78.0,8.3,T
1514,Tekken 6,X360,2009,Fighting,Namco Bandai Games,1300000.0,80.0,7.0,T
1515,Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,1300000.0,78.0,6.1,M
1518,Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,1290000.0,68.0,8.2,E
1519,LEGO Batman: The Videogame,PS3,2008,Action,Warner Bros. Interactive Entertainment,1290000.0,75.0,7.7,E10+
1523,Crysis 2,PS3,2011,Action,Electronic Arts,1290000.0,85.0,7.2,M
1524,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,1290000.0,49.0,6.2,E
1526,Namco Museum DS,DS,2007,Misc,Atari,1290000.0,67.0,5.9,E
1527,Deal or No Deal,Wii,2009,Misc,Zoo Games,1290000.0,56.0,5.0,E
1528,Transformers,PS2,2004,Shooter,Atari,1290000.0,75.0,8.6,T
1529,Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,1290000.0,74.0,7.8,M
1530,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,1290000.0,84.0,5.4,M
1531,Sonic Colors,DS,2010,Platform,Sega,1290000.0,79.0,7.9,E
1532,Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,1290000.0,72.0,7.5,M
1533,EA Playground,Wii,2007,Sports,Electronic Arts,1290000.0,66.0,7.6,E
1536,The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,1280000.0,77.0,8.4,M
1537,Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,1280000.0,85.0,8.4,T
1543,Manhunt,PS2,2003,Action,Take-Two Interactive,1280000.0,76.0,8.3,M
1544,Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,1280000.0,67.0,7.3,E10+
1545,Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,1280000.0,89.0,8.9,M
1546,Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,1270000.0,93.0,9.4,T
1547,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1270000.0,73.0,7.2,T
1548,The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,1270000.0,69.0,7.2,E10+
1549,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1270000.0,76.0,6.6,T
1550,Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,1270000.0,91.0,8.1,T
1551,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,1270000.0,83.0,8.7,E10+
1552,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,1270000.0,59.0,6.3,E
1553,LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,1270000.0,77.0,8.9,E10+
1556,NBA 2K9,X360,2008,Sports,Take-Two Interactive,1270000.0,84.0,7.2,E
1557,Tony Hawk's Underground,XB,2003,Sports,Activision,1270000.0,85.0,9.1,T
1559,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,1270000.0,75.0,6.2,M
1561,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,1270000.0,75.0,8.5,T
1562,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,1270000.0,30.0,2.0,E
1563,Valkyria Chronicles,PS3,2008,Role-Playing,Sega,1270000.0,86.0,8.6,T
1564,WWE '12,X360,2011,Fighting,THQ,1270000.0,71.0,6.3,T
1565,Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,1270000.0,57.0,7.9,E
1567,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,1270000.0,69.0,6.3,T
1568,WWE '13,X360,2012,Action,THQ,1270000.0,78.0,8.0,T
1569,Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,1270000.0,85.0,8.5,T
1570,Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,1270000.0,80.0,4.9,E10+
1571,EA Sports Active 2,Wii,2010,Sports,Electronic Arts,1260000.0,79.0,8.1,E
1572,Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,1260000.0,68.0,5.8,E
1574,Football Manager 2011,PC,2010,Sports,Sega,1260000.0,85.0,8.4,E
1578,Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,1260000.0,59.0,7.7,E
1579,Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,1260000.0,75.0,7.2,T
1581,LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,1250000.0,65.0,8.9,E
1582,NBA Live 2001,PS,2000,Sports,Electronic Arts,1250000.0,86.0,8.0,E
1583,Saints Row IV,PS3,2013,Action,Deep Silver,1250000.0,76.0,6.3,M
1584,Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,1250000.0,68.0,7.4,T
1587,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,1250000.0,63.0,6.9,M
1591,Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,1250000.0,83.0,8.5,T
1592,Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,1250000.0,64.0,8.3,E
1593,Black,PS2,2006,Shooter,Electronic Arts,1250000.0,79.0,8.4,M
1594,Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,1250000.0,86.0,7.6,M
1595,LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,1250000.0,88.0,8.6,E
1596,Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,1250000.0,69.0,8.8,E
1597,RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1250000.0,74.0,8.5,E
1599,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,1250000.0,52.0,6.2,T
1600,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,1250000.0,87.0,8.6,T
1602,Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,1240000.0,81.0,8.9,T
1603,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,1240000.0,52.0,6.8,E
1604,Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,1240000.0,87.0,8.3,T
1605,Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,1240000.0,85.0,9.0,T
1606,Ridge Racer V,PS2,2000,Action,Namco Bandai Games,1240000.0,78.0,7.7,E
1607,WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,1240000.0,78.0,6.9,T
1610,Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,1240000.0,61.0,8.1,T
1611,[Prototype],PS3,2009,Action,Activision,1240000.0,79.0,7.7,M
1613,FIFA Street,PS3,2012,Sports,Electronic Arts,1230000.0,76.0,6.4,E
1614,Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,1230000.0,32.0,4.6,E
1615,Madden NFL 17,XOne,2016,Sports,Electronic Arts,1230000.0,83.0,5.9,E
1616,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,1230000.0,91.0,8.8,M
1618,Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,1230000.0,70.0,8.1,E
1619,Driv3r,PS2,2004,Racing,Atari,1230000.0,57.0,5.5,M
1620,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,1230000.0,63.0,7.2,M
1623,LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,1230000.0,80.0,8.5,E10+
1627,Hyrule Warriors,WiiU,2014,Action,Nintendo,1230000.0,76.0,8.3,T
1629,Donkey Kong Country 2,GBA,2004,Platform,Nintendo,1230000.0,80.0,9.1,E
1630,Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1230000.0,70.0,6.7,T
1632,Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,1230000.0,75.0,7.3,E10+
1633,Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,1230000.0,63.0,7.7,E10+
1634,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,1230000.0,82.0,7.8,E
1635,Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,1220000.0,78.0,8.2,T
1636,Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1220000.0,63.0,7.5,E
1637,Mario Power Tennis,GC,2004,Sports,Nintendo,1220000.0,80.0,8.5,E
1645,Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,1220000.0,86.0,9.5,E
1647,Max Payne,XB,2001,Shooter,Take-Two Interactive,1220000.0,89.0,8.3,M
1649,NBA 2K2,PS2,2002,Sports,Sega,1220000.0,89.0,7.8,E
1651,Cars,PS2,2006,Racing,THQ,1210000.0,71.0,8.4,E
1652,Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios,1210000.0,70.0,6.9,E
1653,Call of Duty: Finest Hour,XB,2004,Shooter,Activision,1210000.0,73.0,7.8,T
1654,Final Fantasy IV,DS,2007,Simulation,Square Enix,1210000.0,85.0,7.7,E10+
1655,Star Wars: Battlefront II,PSP,2005,Shooter,LucasArts,1210000.0,69.0,8.5,T
1656,Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,1210000.0,85.0,8.1,T
1657,Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1210000.0,86.0,8.6,E
1658,WWE 2K16,PS4,2015,Sports,Take-Two Interactive,1210000.0,73.0,7.4,T
1660,Dino Crisis 2,PS,2000,Action,Virgin Interactive,1210000.0,86.0,9.0,M
1663,Need for Speed Underground,GC,2003,Racing,Electronic Arts,1210000.0,83.0,9.0,E
1664,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,1210000.0,76.0,8.3,T
1665,Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,1210000.0,75.0,7.6,T
1666,Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,1210000.0,71.0,5.1,M
1668,Bayonetta,PS3,2009,Action,Sega,1210000.0,87.0,7.7,M
1670,Boom Blox,Wii,2008,Puzzle,Electronic Arts,1210000.0,85.0,8.6,E
1672,The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,1200000.0,59.0,5.1,T
1673,The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,1200000.0,73.0,8.2,T
1675,ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1200000.0,78.0,8.4,E
1676,F1 2011,PS3,2011,Racing,Codemasters,1200000.0,82.0,7.1,E
1678,Pikmin 2,GC,2004,Strategy,Nintendo,1200000.0,90.0,9.1,E
1684,Enter the Matrix,XB,2003,Action,Atari,1200000.0,65.0,7.1,T
1685,Cars,PSP,2006,Racing,THQ,1200000.0,70.0,7.0,E
1686,NHL 2002,PS2,2001,Sports,Electronic Arts,1200000.0,92.0,8.5,E
1687,FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,1200000.0,68.0,5.4,E
1689,The Simpsons: Road Rage,GBA,2003,Racing,THQ,1190000.0,55.0,6.8,E
1690,LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,1190000.0,81.0,7.5,E10+
